Description,Rank 3 Months to 17 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 17 Jun 2026
Azure,2,Up 4 places+4,"£65,000",+8.33%,"5,574","7,040",12.86%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,7,Up 4 places+4,"£72,500",+11.53%,"8,299","4,491",8.21%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"4,883","3,914",7.15%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,17,Down -8 places-8,"£70,000",-6.66%,"5,360","3,638",6.65%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,18,Up 18 places+18,"£60,000",+4.34%,"3,087","3,599",6.58%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,20,Down -6 places-6,"£57,500",-,"4,245","3,497",6.39%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,21,Down -8 places-8,"£74,500",+2.75%,"5,018","3,357",6.13%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,57,Down -37 places-37,"£70,000",-3.44%,"1,794","1,414",2.58%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,72,Down -39 places-39,"£57,500",-11.53%,"2,752","1,192",2.18%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,150,Up 11 places+11,"£70,000",-3.44%,"1,715",685,1.25%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4,
Databricks,190,Down -116 places-116,"£85,000",+11.47%,560,547,1.00%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,328,Down -37 places-37,"£90,000",+15.75%,471,256,0.47%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,484,Down -158 places-158,"£65,000",+2.36%,300,84,0.15%,3mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19,
Azure,,Up 3 places+3,"£65,000",+4.49%,"5,574","12,167",13.01%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,3
AI,,Up 6 places+6,"£70,000",+5.58%,"8,299","7,307",7.81%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Python,,Down -2 places-2,"£70,000",-3.44%,"5,360","6,658",7.12%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Software Engineering,,Up 6 places+6,"£70,000",-6.04%,"4,883","6,609",7.07%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 22 places+22,"£60,000",+4.34%,"3,087","6,451",6.90%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,15
SQL,,Down -8 places-8,"£57,500",-4.16%,"4,245","5,982",6.40%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -9 places-9,"£72,500",-,"5,018","5,917",6.33%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,21
Java,,Down -28 places-28,"£70,000",-6.66%,"1,794","2,549",2.73%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,55
JavaScript,,Down -40 places-40,"£57,500",-11.53%,"2,752","2,217",2.37%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
Data Science,,Down -11 places-11,"£70,000",-3.44%,"1,715","1,260",1.35%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,148
Databricks,,Down -109 places-109,"£85,000",+9.67%,560,893,0.96%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,212
Snowflake,,Down -64 places-64,"£85,000",+3.03%,471,431,0.46%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,373
R,,Down -128 places-128,"£45,000",-27.41%,300,242,0.26%,6mo,2026-06-17,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=13,13,493
