description,rank,rank_yoy_change,median_salary,median_salary_yoy_change,live_jobs,historical_vacancies_absolute,historical_vacancies_relative,period,date_scraped,source_url,page
Azure,2,Up 4 places+4,"£65,000",+8.33%,"3,922","7,103",13.57%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AI,8,Up 4 places+4,"£70,000",+7.69%,"6,102","4,348",8.31%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Python,11,Down -2 places-2,"£70,000",-6.66%,"3,769","3,784",7.23%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Software Engineering,16,Up 4 places+4,"£70,000",-6.66%,"3,292","3,724",7.12%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Cybersecurity,17,Up 19 places+19,"£60,000",+9.09%,"2,577","3,589",6.86%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
SQL,19,Down -6 places-6,"£57,500",-,"2,521","3,389",6.48%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AWS,21,Down -7 places-7,"£72,500",-,"2,929","3,305",6.32%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Java,57,Down -36 places-36,"£70,000",-3.44%,"1,192","1,373",2.62%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
JavaScript,70,Down -37 places-37,"£55,098",-15.23%,"1,149","1,188",2.27%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
Data Science,149,Up 8 places+8,"£70,000",-,"1,212",678,1.30%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4
Databricks,187,Down -115 places-115,"£82,500",+3.12%,527,536,1.02%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4
Snowflake,331,Down -38 places-38,"£85,000",+6.25%,281,249,0.48%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9
R,439,Down -108 places-108,"£41,250",-36.53%,280,127,0.24%,3mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=14,14
Azure,3,Up 3 places+3,"£65,000",+4.00%,"3,922","12,093",13.05%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AI,6,Up 12 places+12,"£70,000",+5.51%,"6,102","8,803",9.50%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Cybersecurity,9,Up 28 places+28,"£60,000",+4.04%,"2,577","8,059",8.70%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Python,14,Down -4 places-4,"£70,000",-3.44%,"3,769","6,726",7.26%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Software Engineering,16,Up 3 places+3,"£70,000",-3.44%,"3,292","6,389",6.90%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
SQL,18,Down -7 places-7,"£57,500",-4.16%,"2,521","5,898",6.37%,6mo,2026-06-04,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
