description,rank,rank_yoy_change,median_salary,median_salary_yoy_change,live_jobs,historical_vacancies_absolute,historical_vacancies_relative,period,date_scraped,source_url,page
Azure,2,Up 4 places+4,"£65,000",+8.33%,"3,285","7,076",12.87%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AI,7,Up 4 places+4,"£72,500",+11.53%,"4,648","4,528",8.23%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"2,878","3,944",7.17%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Python,17,Down -8 places-8,"£70,000",-6.66%,"3,082","3,663",6.66%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Cybersecurity,18,Up 19 places+19,"£60,000",+4.34%,"2,138","3,619",6.58%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
SQL,20,Down -6 places-6,"£57,500",-,"2,068","3,533",6.42%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AWS,21,Down -8 places-8,"£75,000",+3.44%,"2,567","3,373",6.13%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Java,57,Down -37 places-37,"£70,000",-3.44%,"1,084","1,426",2.59%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
JavaScript,70,Down -36 places-36,"£57,500",-14.81%,996,"1,209",2.20%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
Data Science,147,Up 21 places+21,"£70,000",-3.44%,898,692,1.26%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4
Databricks,185,Down -111 places-111,"£85,000",+13.33%,435,551,1.00%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5
Snowflake,326,Down -28 places-28,"£90,000",+12.50%,203,258,0.47%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9
R,473,Down -137 places-137,"£65,000",+0.38%,226,86,0.16%,3mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=18,18
Azure,3,Up 3 places+3,"£65,000",+5.69%,"3,285","12,192",13.02%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AI,10,Up 6 places+6,"£70,000",+5.58%,"4,648","7,348",7.85%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Python,12,Down -2 places-2,"£70,000",-3.44%,"3,082","6,666",7.12%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Software Engineering,13,Up 6 places+6,"£70,000",-6.04%,"2,878","6,627",7.08%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Cybersecurity,15,Up 22 places+22,"£60,000",+4.34%,"2,138","6,463",6.90%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
SQL,19,Down -8 places-8,"£57,500",-4.16%,"2,068","6,007",6.41%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AWS,21,Down -9 places-9,"£72,500",-,"2,567","5,919",6.32%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Java,55,Down -28 places-28,"£70,000",-6.66%,"1,084","2,551",2.72%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2
JavaScript,69,Down -39 places-39,"£57,500",-11.53%,996,"2,226",2.38%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2
Data Science,147,Down -10 places-10,"£70,000",-3.44%,898,"1,266",1.35%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4
Databricks,211,Down -109 places-109,"£85,000",+9.67%,435,892,0.95%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5
Snowflake,370,Down -53 places-53,"£85,000",+3.03%,203,428,0.46%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9
R,496,Down -121 places-121,"£45,037",-27.35%,226,239,0.26%,6mo,2026-06-18,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=14,14
