Description,Rank 3 Months to 16 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 16 Jun 2026
Azure,2,Up 4 places+4,"£65,000",+8.33%,"3,562","7,038",12.90%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,7,Up 4 places+4,"£72,500",+11.53%,"5,350","4,455",8.17%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"3,034","3,905",7.16%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,17,Down -8 places-8,"£70,000",-6.66%,"3,384","3,650",6.69%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,18,Up 19 places+19,"£60,000",+4.34%,"2,298","3,584",6.57%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,20,Down -6 places-6,"£57,500",-,"2,317","3,490",6.40%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,21,Down -8 places-8,"£75,000",+3.44%,"2,832","3,374",6.18%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,57,Down -37 places-37,"£70,000",-3.44%,"1,118","1,406",2.58%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,73,Down -39 places-39,"£57,500",-11.53%,"1,050","1,191",2.18%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,148,Up 7 places+7,"£70,000",-3.44%,"1,077",687,1.26%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4,
Databricks,189,Down -118 places-118,"£85,000",+11.47%,521,547,1.00%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,331,Down -33 places-33,"£85,000",+6.25%,250,256,0.47%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,487,Down -161 places-161,"£65,000",+2.36%,240,83,0.15%,3mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19,
Azure,,Up 3 places+3,"£65,000",+6.55%,"3,562","12,136",13.01%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,3
AI,,Up 6 places+6,"£70,000",+5.58%,"5,350","7,282",7.81%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Python,,Down -2 places-2,"£70,000",-3.44%,"3,384","6,644",7.12%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Software Engineering,,Up 6 places+6,"£70,000",-6.50%,"3,034","6,599",7.07%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 22 places+22,"£60,000",+4.34%,"2,298","6,429",6.89%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,15
SQL,,Down -8 places-8,"£57,500",-4.16%,"2,317","5,967",6.40%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -8 places-8,"£72,500",-,"2,832","5,903",6.33%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,20
Java,,Down -28 places-28,"£70,000",-6.66%,"1,118","2,546",2.73%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,55
JavaScript,,Down -39 places-39,"£57,500",-11.53%,"1,050","2,209",2.37%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,69
Data Science,,Down -12 places-12,"£70,000",-3.44%,"1,077","1,258",1.35%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,149
Databricks,,Down -110 places-110,"£85,000",+9.67%,521,884,0.95%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,211
Snowflake,,Down -53 places-53,"£82,500",-,250,427,0.46%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,372
R,,Down -127 places-127,"£45,000",-27.41%,240,239,0.26%,6mo,2026-06-16,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=14,14,502
