description,rank,rank_yoy_change,median_salary,median_salary_yoy_change,live_jobs,historical_vacancies_absolute,historical_vacancies_relative,period,date_scraped,source_url,page
Azure,5,Up 1 place+1,"£65,000",+8.33%,"2,919","6,760",12.28%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AI,8,Up 1 place+1,"£70,000",+7.69%,"3,879","4,473",8.12%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"1,838","4,072",7.40%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
AWS,18,Down -5 places-5,"£74,250",-1.00%,"2,068","3,541",6.43%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Python,19,Down -8 places-8,"£70,000",-6.66%,"2,534","3,536",6.42%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
SQL,20,Down -6 places-6,"£57,500",-,"1,806","3,521",6.40%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Cybersecurity,21,Up 17 places+17,"£60,000",+4.34%,"1,736","3,488",6.34%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1
Java,53,Down -33 places-33,"£70,000",-3.44%,823,"1,460",2.65%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
JavaScript,67,Down -33 places-33,"£57,500",-14.81%,846,"1,253",2.28%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2
Data Science,151,Up 22 places+22,"£70,000",-3.44%,863,674,1.22%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4
Databricks,200,Down -127 places-127,"£85,000",+13.33%,373,498,0.90%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5
Snowflake,368,Down -60 places-60,"£82,500",+3.12%,176,215,0.39%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=10,10
R,488,Down -150 places-150,"£65,000",+4.83%,206,87,0.16%,3mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19
Azure,4,Up 3 places+3,"£65,000",+5.69%,"2,919","12,424",13.08%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AI,10,Up 4 places+4,"£70,000",+5.62%,"3,879","7,604",8.01%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Software Engineering,12,Up 7 places+7,"£72,500",-3.33%,"1,838","6,812",7.17%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Python,13,Down -3 places-3,"£70,000",-3.44%,"2,534","6,743",7.10%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Cybersecurity,18,Up 19 places+19,"£60,000",+4.34%,"1,736","6,580",6.93%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
SQL,20,Down -9 places-9,"£57,500",-4.16%,"1,806","6,177",6.50%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AWS,21,Down -9 places-9,"£72,500",-,"2,068","6,154",6.48%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Java,55,Down -28 places-28,"£70,000",-6.66%,823,"2,592",2.73%,6mo,2026-06-27,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2
