Description,Rank 3 Months to 19 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 19 Jun 2026
Azure,2,Up 4 places+4,"£65,000",+8.33%,"2,665","7,111",12.89%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,7,Up 3 places+3,"£72,500",+11.53%,"3,597","4,579",8.30%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"1,607","3,957",7.17%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,17,Down -8 places-8,"£70,000",-6.66%,"2,344","3,680",6.67%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,18,Up 19 places+19,"£60,000",+4.34%,"1,836","3,650",6.61%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,20,Down -6 places-6,"£57,500",-,"1,806","3,574",6.48%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,21,Down -8 places-8,"£75,000",+3.44%,"1,923","3,440",6.23%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,56,Down -36 places-36,"£70,000",-3.44%,722,"1,430",2.59%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,71,Down -37 places-37,"£57,500",-11.53%,793,"1,229",2.23%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,150,Up 14 places+14,"£70,000",-3.44%,731,685,1.24%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4,
Databricks,192,Down -117 places-117,"£85,000",+13.33%,337,549,0.99%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,338,Down -33 places-33,"£90,000",+12.50%,169,251,0.45%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,488,Down -149 places-149,"£65,000",+4.83%,170,87,0.16%,3mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=18,18,
Azure,,Up 2 places+2,"£65,000",+5.69%,"2,665","12,231",13.03%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,4
AI,,Up 6 places+6,"£70,000",+5.62%,"3,597","7,415",7.90%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Python,,Down -2 places-2,"£70,000",-3.44%,"2,344","6,674",7.11%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Software Engineering,,Up 6 places+6,"£70,000",-6.27%,"1,607","6,649",7.08%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 22 places+22,"£60,000",+4.34%,"1,836","6,481",6.90%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,15
SQL,,Down -8 places-8,"£57,500",-4.16%,"1,806","6,040",6.43%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -9 places-9,"£72,500",-,"1,923","5,980",6.37%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,21
Java,,Down -29 places-29,"£70,000",-6.66%,722,"2,560",2.73%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,56
JavaScript,,Down -40 places-40,"£57,500",-11.53%,793,"2,232",2.38%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
Data Science,,Down -9 places-9,"£70,000",-3.44%,731,"1,268",1.35%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,146
Databricks,,Down -107 places-107,"£85,000",+9.67%,337,894,0.95%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,209
Snowflake,,Down -67 places-67,"£85,000",+3.03%,169,426,0.45%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,377
R,,Down -140 places-140,"£46,362",-25.22%,170,233,0.25%,6mo,2026-06-20,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=14,14,516
