Description,Rank 3 Months to 15 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 15 Jun 2026
Azure,2,Up 4 places+4,"£65,000",+8.33%,"2,741","7,147",13.12%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AI,8,Up 3 places+3,"£71,750",+10.38%,"3,255","4,466",8.20%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Software Engineering,14,Up 5 places+5,"£70,000",-6.66%,"1,575","3,882",7.12%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Python,17,Down -8 places-8,"£70,000",-6.66%,"2,188","3,678",6.75%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Cybersecurity,18,Up 19 places+19,"£60,000",+4.34%,"1,723","3,673",6.74%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
SQL,20,Down -6 places-6,"£57,500",-,"1,888","3,508",6.44%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
AWS,21,Down -8 places-8,"£75,000",+3.44%,"1,857","3,341",6.13%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3,1,
Java,57,Down -37 places-37,"£70,000",-3.44%,554,"1,399",2.57%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
JavaScript,70,Down -36 places-36,"£57,500",-14.17%,685,"1,178",2.16%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=2,2,
Data Science,147,Up 8 places+8,"£70,000",-3.44%,726,677,1.24%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=4,4,
Databricks,185,Down -115 places-115,"£85,000",+9.67%,355,539,0.99%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,313,Down -16 places-16,"£85,000",+6.25%,158,254,0.47%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,464,Down -135 places-135,"£65,000",+4.83%,164,83,0.15%,3mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19,
Azure,,Up 3 places+3,"£65,000",+6.33%,"2,741","12,112",13.00%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,3
AI,,Up 6 places+6,"£70,000",+5.58%,"3,255","7,259",7.79%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Python,,Down -2 places-2,"£70,000",-3.44%,"2,188","6,647",7.13%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Software Engineering,,Up 6 places+6,"£70,000",-6.50%,"1,575","6,588",7.07%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 21 places+21,"£60,000",+4.34%,"1,723","6,428",6.90%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,15
SQL,,Down -8 places-8,"£57,500",-4.16%,"1,888","5,945",6.38%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -8 places-8,"£72,500",-,"1,857","5,898",6.33%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,20
Java,,Down -29 places-29,"£70,000",-6.66%,554,"2,557",2.74%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,55
JavaScript,,Down -40 places-40,"£57,500",-11.53%,685,"2,209",2.37%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
Data Science,,Down -11 places-11,"£70,000",-3.44%,726,"1,251",1.34%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,148
Databricks,,Down -109 places-109,"£85,000",+9.67%,355,877,0.94%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,211
Snowflake,,Down -57 places-57,"£83,750",+1.51%,158,428,0.46%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,373
R,,Down -130 places-130,"£45,000",-27.41%,164,242,0.26%,6mo,2026-06-15,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=13,13,501
